,epoch,forecasting_horizon,validation_mape,validation_mae,validation_rmse,test_mape,test_mae,test_rmse
0.0,0.0,3.0,0.21086402709849655,4.128128202860622,5.7738387377468685,0.1993350838997939,3.9975749949372053,5.588445690780814
1.0,0.0,6.0,0.21044872141721782,4.12230791288422,5.765909682803866,0.19917204895921609,3.995618439728256,5.584517716501222
2.0,0.0,9.0,0.2101050982476632,4.116700656824053,5.757078953833321,0.19908657016269216,3.9946542648525987,5.582278917730394
3.0,0.0,12.0,0.23052737169531123,4.4889327379793205,6.180615610126389,0.21775211256307486,4.334028073879488,5.9632943248407795
4.0,10.0,3.0,0.1495747618732497,3.2133992756164464,4.767722141037414,0.14259738102823494,3.1170252342325284,4.678411714053699
5.0,10.0,6.0,0.14930869416448342,3.207950205651388,4.759271088503942,0.14247454335700196,3.1145607249622635,4.673774925785696
6.0,10.0,9.0,0.14910079266708928,3.202133525791277,4.750450230150288,0.14237353645326056,3.1124491509806043,4.670241057608537
7.0,10.0,12.0,0.14944746324104427,3.215017360502653,4.784426379165824,0.1433017165224926,3.141488414116466,4.71738412670345
8.0,20.0,3.0,0.1495747618732497,3.206095485162313,4.724011749692363,0.14301017280838002,3.1095193712130405,4.638186775685387
9.0,20.0,6.0,0.14930869416448342,3.2010899048766417,4.718209334721567,0.1429037707101699,3.1074738481223307,4.634313678428247
10.0,20.0,9.0,0.14910079266708928,3.1954868701735775,4.710312421482938,0.1428176276658653,3.1056081958740487,4.630177826488267
11.0,20.0,12.0,0.14944746324104427,3.1964265453919727,4.734695192338859,0.14316259140110954,3.113214661095592,4.662780118031693
12.0,30.0,3.0,0.1442812755550464,3.1617374994920473,4.683445794696105,0.1384212221733209,3.0800961451897324,4.616465767573358
13.0,30.0,6.0,0.14411002211909232,3.15739492630648,4.678469879266321,0.13830994294416224,3.077798996868627,4.612413247342199
14.0,30.0,9.0,0.1439200796852877,3.1520823888093217,4.670102998099505,0.13822105858974182,3.07571550925039,4.607965991933981
15.0,30.0,12.0,0.1422765565945411,3.137582841211211,4.685481288446464,0.13686021618781274,3.067698644947285,4.630242464723549
16.0,40.0,3.0,0.1442812755550464,3.1617374994920473,4.683445794696105,0.1407710360012495,3.091686942506658,4.618085366333473
17.0,40.0,6.0,0.14411002211909232,3.15739492630648,4.678469879266321,0.14066638301278148,3.0895720800361217,4.6142778140096
18.0,40.0,9.0,0.1439200796852877,3.1520823888093217,4.670102998099505,0.14058582327834235,3.087715947987897,4.609985025891977
19.0,40.0,12.0,0.1422765565945411,3.137582841211211,4.679596128431395,0.13950944801466036,3.074770013669333,4.619506108817541
20.0,50.0,3.0,0.1442812755550464,3.1617374994920473,4.683445794696105,0.1407138124384328,3.0918040735605077,4.619355151471298
21.0,50.0,6.0,0.14411002211909232,3.15739492630648,4.678469879266321,0.14060973730198595,3.089684794579336,4.615556857262205
22.0,50.0,9.0,0.1439200796852877,3.1520823888093217,4.670102998099505,0.1405278453529034,3.0877749989042824,4.611173203324485
23.0,50.0,12.0,0.1422765565945411,3.137582841211211,4.675154057430179,0.13929769458287938,3.0701353835012677,4.616988141674187
